gene,description
Solyc00g500195.1.1 ,"NAD(P)H-quinone oxidoreductase subunit 5, chloroplastic (AHRD V3.3 *** J7H711_CAPAN)"
Solyc00g500196.2.1 ,Protein TIC 214 (AHRD V3.11 *** tr|K4EQH9|K4EQH9_DATST)
Solyc00g500197.1.1 ,Ycf15 protein (AHRD V3.3 *-* J7H9P3_CAPAN)
Solyc00g500198.1.1 ,"NAD(P)H-quinone oxidoreductase subunit 5, chloroplastic (AHRD V3.3 *** J7H711_CAPAN)"
Solyc00g500199.1.1 ,Photosystem I P700 chlorophyll a apoprotein .1
Solyc00g500200.1.1 ,Photosystem II protein .1
Solyc00g500201.1.1 ,Maturase K (AHRD V3.3 *** A0A2G3DGH8_CAPCH)
Solyc00g500202.1.1 ,Photosystem II reaction center protein K (AHRD V3.3 *** A0A1U8QD48_CAPAN)
Solyc00g500203.1.1 ,"ATP synthase subunit alpha, chloroplastic (AHRD V3.3 *** I6N942_DATST)"
Solyc00g500204.1.1 ,"30S ribosomal protein S2, chloroplastic (AHRD V3.3 *** I6N946_DATST)"
Solyc00g500205.1.1 ,DNA-directed RNA polymerase subunit beta'' (AHRD V3.3 *-* A0A1U8QCC7_CAPAN)
Solyc00g160190.1.1 ,DNA-directed RNA polymerase subunit beta (AHRD V3.11 *-* tr|I6N949|I6N949_DATST)
Solyc00g500206.1.1 ,Photosystem II CP43 reaction center protein (AHRD V3.3 *** A0A078EKT7_BRANA)
Solyc00g500207.1.1 ,"30S ribosomal protein S14, chloroplastic (AHRD V3.3 *-* A0A2G2X601_CAPBA)"
Solyc00g500208.1.1 ,Photosystem I P700 chlorophyll a apoprotein A2 (AHRD V3.3 *** I6N956_DATST)
Solyc00g500209.1.1 ,Photosystem I P700 chlorophyll a apoprotein .1
Solyc00g500210.1.1 ,Protein TIC 214 (AHRD V3.3 *** K4EQH9_DATST)
Solyc00g500211.1.1 ,"NAD(P)H-quinone oxidoreductase subunit 5, chloroplastic (AHRD V3.3 *** J7H711_CAPAN)"
Solyc00g500213.1.1 ,Auxin-responsive GH3 family protein (AHRD V3.3 *** A0A2U1NZC8_ARTAN)
Solyc00g500214.1.1 ,Auxin-responsive GH3 family protein (AHRD V3.3 *** A0A2U1NZC8_ARTAN)
Solyc00g322630.1.1 ,Auxin-responsive GH3 family protein (AHRD V3.3 *-* A0A2U1NZC8_ARTAN)
Solyc00g500215.1.1 ,Unknown protein
Solyc00g500216.2.1 ,Auxin-responsive GH3 family protein (AHRD V3.11 *** tr|A0A2U1NZC8|A0A2U1NZC8_ARTAN)
Solyc00g500218.1.1 ,Auxin-responsive GH3 family protein (AHRD V3.3 *** A0A2U1NZC8_ARTAN)
Solyc00g266110.1.1 ,Auxin-responsive GH3 family protein (AHRD V3.3 *-* A0A2U1NZC8_ARTAN)
Solyc00g254910.1.1 ,Auxin-responsive GH3 family protein (AHRD V3.3 *-* A0A2U1NZC8_ARTAN)
Solyc00g500219.1.1 ,B3 domain-containing protein (AHRD V3.3 *** A0A2K3PAY3_TRIPR)
Solyc00g500220.1.1 ,B3 domain-containing protein At1g49475-like (AHRD V3.3 *-* XP_025886111.1)
Solyc00g500222.2.1 ,B3 domain-containing protein (AHRD V3.11 *** tr|A0A1Q3DFU3|A0A1Q3DFU3_CEPFO)
Solyc03g042528.2.1 ,E3 ubiquitin-protein ligase (AHRD V3.11 *** tr|A0A2G2WYW6|A0A2G2WYW6_CAPBA)
Solyc03g042550.2.1 ,E3 ubiquitin-protein ligase (AHRD V3.11 *** tr|A0A2G2WYW6|A0A2G2WYW6_CAPBA)
Solyc00g160680.1.1 ,zinc finger CCCH domain-containing protein 6-like isoform X2 (AHRD V3.11 *-* tr|A0A2I4DEC7|A0A2I4DEC7_9ROSI)
Solyc00g160450.1.1 ,zinc finger CCCH domain-containing protein 6-like (AHRD V3.11 *-* XP_025884877.1)
Solyc00g160430.1.1 ,zinc finger CCCH domain-containing protein 6-like (AHRD V3.11 *-* XP_025884877.1)
Solyc00g198360.1.1 ,Zinc finger transcription factor 4
Solyc00g160440.1.1 ,zinc finger CCCH domain-containing protein 6-like (AHRD V3.11 *-* XP_025884876.1)
Solyc00g036520.1.1 ,Unknown protein
Solyc00g052540.1.1 ,Unknown protein
Solyc00g052530.2.1 ,Unknown protein
Solyc00g500224.1.1 ,Cytochrome c biogenesis FC (AHRD V3.3 *-* A0A0C5B7H6_9SOLA)
Solyc00g047180.1.1 ,Unknown protein
Solyc00g047190.1.1 ,Unknown protein
Solyc00g047200.1.1 ,Cytochrome b (AHRD V3.3 *-* A0A2G3ARK2_CAPCH)
Solyc00g160040.1.1 ,Ribonuclease H domain (AHRD V3.11 --* tr|A0A200Q982|A0A200Q982_9MAGN)
Solyc00g500225.1.1 ,NADH-ubiquinone oxidoreductase chain 3 (AHRD V3.3 *** G9FCN6_9LAMI)
Solyc00g500226.1.1 ,Cytochrome c biogenesis FC (AHRD V3.3 *-* A0A0C5B7H6_9SOLA)
Solyc00g500227.1.1 ,RNA-dependent RNA polymerase (AHRD V3.3 *** A0A2Z6JIR4_9VIRU)
Solyc00g500228.1.1 ,Ribosomal protein L2 (AHRD V3.3 *** A0A290WL33_SOLLC)
Solyc00g500229.1.1 ,Unknown protein
Solyc00g500230.1.1 ,Unknown protein
Solyc00g160050.1.1 ,F-box protein CPR30-like isoform X1 (AHRD V3.11 *-* tr|A0A2I4FPS0|A0A2I4FPS0_9ROSI)
Solyc00g160200.1.1 ,F-box protein SKIP14 (AHRD V3.11 *-* XP_010317065.1)
Solyc00g500232.1.1 ,Unknown protein
Solyc00g160470.1.1 ,F-box protein SKIP14 (AHRD V3.11 *-* XP_010317065.1)
Solyc00g160460.1.1 ,LL-diaminopimelate aminotransferase Chr3:4761654-4762286 REVERSE LENGTH=141 201606 (AHRD V3.11 *-* AT3G14280.1)
Solyc00g500233.1.1 ,Unknown protein
Solyc00g500235.1.1 ,Unknown protein
Solyc00g500236.1.1 ,MP domain-containing protein (AHRD V3.3 *-* A0A1Q3BUD1_CEPFO)
Solyc00g500237.1.1 ,Transport membrane protein (AHRD V3.3 *-* A0A0C5ARU2_HYONI)
Solyc00g230070.1.1 ,Photosystem II CP43 reaction center protein (AHRD V3.3 *-* A0A220NAN4_9BRAS)
Solyc00g025300.1.1 ,transmembrane protein Chr2:3268932-3269906 FORWARD LENGTH=324 201606 (AHRD V3.3 --* AT2G07674.2)
Solyc00g025290.1.1 ,hypothetical protein ChrM:190104-190553 REVERSE LENGTH=149 201606 (AHRD V3.3 *** ATMG00660.1)
Solyc00g500238.1.1 ,orf2.1
Solyc00g020040.1.1 ,Cytochrome c biogenesis B (AHRD V3.3 *** A0A0C5B708_9SOLA)
Solyc00g020030.1.1 ,Unknown protein
Solyc00g020020.2.1 ,Unknown protein
Solyc00g020010.1.1 ,Unknown protein
Solyc00g020000.1.1 ,Unknown protein
Solyc00g019990.1.1 ,Unknown protein
Solyc00g019980.3.1 ,ribosomal protein L2 (chloroplast) (AHRD V3.11 *-* YP_009232109.1)
Solyc00g019970.2.1 ,Unknown protein
Solyc00g019950.2.1 ,NADH dehydrogenase subunit 9 (AHRD V3.11 *** tr|A0A290WKX8|A0A290WKX8_SOLLC)
Solyc00g160060.1.1 ,Cytochrome c oxidase subunit 3 (AHRD V3.11 *** tr|A0A0C5BKQ0|A0A0C5BKQ0_9SOLA)
Solyc00g500239.1.1 ,Protein Ycf2 (AHRD V3.3 *-* A0A142DP97_9LAMI)
Solyc00g500240.1.1 ,Cytochrome b (AHRD V3.3 *** A0A2G3ARK2_CAPCH)
Solyc00g500241.1.1 ,Cytochrome c biogenesis FC (AHRD V3.3 *-* A0A0C5B7H6_9SOLA)
Solyc00g036530.1.1 ,Unknown protein
Solyc00g500242.1.1 ,Heme exporter protein C (AHRD V3.3 *** A0A2S4LUD9_9BRAD)
Solyc00g500244.1.1 ,Cytochrome c oxidase subunit 2 (AHRD V3.3 *** A0A2G2X686_CAPBA)
Solyc00g500245.1.1 ,Ribosomal protein S3 (AHRD V3.3 *** A0A290WKX3_SOLLC)
Solyc00g500246.1.1 ,Unknown protein
Solyc00g007450.1.1 ,Zinc finger transcription factor 2
Solyc00g160490.1.1 ,Zinc finger CCCH domain-containing protein 68 (AHRD V3.11 --* sp|Q9FH61|C3H68_ARATH)
Solyc00g160690.1.1 ,zinc finger CCCH domain-containing protein 30-like (AHRD V3.11 --* tr|A0A2I4HEV8|A0A2I4HEV8_9ROSI)
Solyc00g160480.1.1 ,cysteine-rich receptor-like protein kinase 2 (AHRD V3.11 --* XP_014619111.1)
Solyc00g016590.1.1 ,Unknown protein
Solyc00g160210.1.1 ,AT hook motif DNA-binding family protein (AHRD V3.11 *-* tr|A0A2U1PYS7|A0A2U1PYS7_ARTAN)
Solyc00g028960.1.1 ,monothiol glutaredoxin-S1-like (AHRD V3.3 *** A0A1U7WLZ4_NICSY)
Solyc00g500247.1.1 ,AT hook motif DNA-binding family protein (AHRD V3.3 *-* A0A2U1PYS7_ARTAN)
Solyc00g500248.1.1 ,"AT hook, DNA-binding motif-containing protein (AHRD V3.3 *-* A0A2U1KK62_ARTAN)"
Solyc00g500249.1.1 ,Cytochrome c biogenesis FN (AHRD V3.11 *** tr|A0A0C5B9X0|A0A0C5B9X0_9SOLA)
Solyc00g500250.1.1 ,Cytochrome c oxidase subunit.1
Solyc00g500251.1.1 ,NADH-ubiquinone oxidoreductase chain 4 (AHRD V3.3 *-* A0A290WL40_SOLLC)
Solyc00g500252.1.1 ,NADH-ubiquinone oxidoreductase chain 4 (AHRD V3.3 *** A0A2G3CZD8_CAPCH)
Solyc00g500253.1.1 ,NADH-ubiquinone oxidoreductase chain 4 (AHRD V3.3 *** A0A2G2X0J9_CAPBA)
Solyc00g160500.1.1 ,hypothetical protein Chr2:3380744-3380944 FORWARD LENGTH=66 201606 (AHRD V3.11 *-* AT2G07705.1)
Solyc00g021650.1.1 ,Unknown protein
Solyc00g021640.2.1 ,Ribosomal protein S4 (AHRD V3.3 *** A0A0C5B738_9SOLA)
Solyc00g021630.1.1 ,NADH-ubiquinone oxidoreductase chain 6 (AHRD V3.3 *** A0A0C5B7I5_9SOLA)
Solyc00g500254.1.1 ,"50S ribosomal protein L20, chloroplastic (AHRD V3.3 *-* A0A2P1M7F3_9LAMI)"
Solyc00g181240.1.1 ,Unknown protein
Solyc00g181250.2.1 ,Photosystem II CP43 reaction center protein (AHRD V3.3 *-* A0A2G2V3B6_CAPBA)
Solyc00g500255.1.1 ,RNA-dependent RNA polymerase (AHRD V3.3 *-* A0A2Z6JIR4_9VIRU)
Solyc00g500256.1.1 ,NADH-ubiquinone oxidoreductase chain 5 (AHRD V3.3 *-* A0A1Y0B159_9LAMI)
Solyc11g056270.3.1 ,Maturase (AHRD V3.11 *** tr|O79414|O79414_SOLTU)
Solyc11g056320.2.1 ,Cytochrome c oxidase subunit 2 (AHRD V3.11 *-* tr|A0A2G3D2T0|A0A2G3D2T0_CAPCH)
Solyc00g160510.1.1 ,Transmembrane protein (AHRD V3.11 *-* tr|A0A1P8B2M8|A0A1P8B2M8_ARATH)
Solyc00g160520.1.1 ,"histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH6-like (AHRD V3.11 *-* tr|A0A1U8GIG3|A0A1U8GIG3_CAPAN)"
Solyc00g500258.1.1 ,Chitinase (AHRD V3.3 *-* B9VRK7_CAPAN)
Solyc00g160700.1.1 ,Zinc finger protein (AHRD V3.11 *-* tr|E3NYG8|E3NYG8_9FABA)
Solyc00g160220.1.1 ,Chitinase (AHRD V3.11 *-* tr|P93327|P93327_MEDTR)
Solyc00g500259.1.1 ,Unknown protein
Solyc00g500260.1.1 ,Cytochrome b (AHRD V3.3 *-* A0A2G3ARK2_CAPCH)
Solyc00g160070.1.1 ,Ribonuclease H domain (AHRD V3.11 --* tr|A0A200Q982|A0A200Q982_9MAGN)
Solyc00g160530.1.1 ,Ribosomal protein S12 (AHRD V3.11 *-* tr|I1VWK1|I1VWK1_SPIPO)
Solyc00g500262.1.1 ,Transmembrane protein (AHRD V3.3 *-* Q3EC50_ARATH)
Solyc00g500263.1.1 ,RNA-dependent RNA polymerase (AHRD V3.3 *** A0A2Z6JIR4_9VIRU)
Solyc00g160710.1.1 ,Zf-RVT domain-containing protein (AHRD V3.11 *-* tr|A0A1Q3DJ48|A0A1Q3DJ48_CEPFO)
Solyc00g500264.1.1 ,Unknown protein
Solyc00g500265.1.1 ,Unknown protein
Solyc00g500266.1.1 ,Unknown protein
Solyc00g500267.1.1 ,Unknown protein
Solyc00g500269.1.1 ,Unknown protein
Solyc00g500270.1.1 ,Unknown protein
Solyc00g500271.1.1 ,NADH-ubiquinone oxidoreductase chain 5 (AHRD V3.3 *** A0A0C5ARN6_HYONI)
Solyc00g500272.1.1 ,Cytochrome C oxidase subunit II-like%2C transmembrane domain-containing protein ChrM:318588-319463 REVERSE LENGTH=2.1
Solyc00g500275.1.1 ,Cytochrome c oxidase subunit 2 (AHRD V3.3 *** A0A2G2X686_CAPBA)
Solyc00g500276.1.1 ,Cytochrome c oxidase subunit 2 (AHRD V3.3 *-* A0A0C5B2A3_HYONI)
Solyc00g500277.1.1 ,Heme exporter protein C (AHRD V3.3 *** A0A2S4LUD9_9BRAD)
Solyc00g052430.3.1 ,Cytochrome c biogenesis FC (AHRD V3.11 *** tr|A0A0C5B7H6|A0A0C5B7H6_9SOLA)
Solyc00g500278.1.1 ,Protein TIC 214 (AHRD V3.3 *-* TI214_SOLTU)
Solyc00g500279.1.1 ,Protein TIC 214 (AHRD V3.3 *-* TI214_SOLTU)
Solyc00g500280.1.1 ,"NAD(P)H-quinone oxidoreductase subunit H, chloroplastic (AHRD V3.3 *** A0A1S5SJX5_ORYVI)"
Solyc00g500282.1.1 ,Unknown protein
Solyc00g160080.1.1 ,Phosphoinositide phospholipase C (AHRD V3.11 --* tr|A0A2U1LLM8|A0A2U1LLM8_ARTAN)
Solyc00g160230.1.1 ,Phosphatidylinositol 4-phosphate 5-kinase (AHRD V3.11 *-* tr|M1CLR5|M1CLR5_SOLTU)
Solyc00g160720.1.1 ,F-box protein At3g07870-like (AHRD V3.11 *-* XP_011098049.1)
Solyc00g160090.1.1 ,F-box domain (AHRD V3.11 *-* tr|A0A200PSM3|A0A200PSM3_9MAGN)
Solyc00g160540.1.1 ,Phosphoinositide phospholipase C (AHRD V3.11 *-* tr|A0A2U1LLM8|A0A2U1LLM8_ARTAN)
Solyc00g500284.1.1 ,Auxin-responsive GH3 family protein (AHRD V3.3 *-* A0A2U1NZC8_ARTAN)
Solyc00g500285.1.1 ,Auxin-responsive GH3 family protein (AHRD V3.3 *-* A0A2U1MJ34_ARTAN)
Solyc00g500286.1.1 ,Auxin-responsive GH3 family protein (AHRD V3.3 *-* A0A2U1NZC8_ARTAN)
Solyc00g500287.1.1 ,Auxin-responsive GH3 family protein (AHRD V3.3 *-* A0A2U1MJ34_ARTAN)
Solyc00g500288.1.1 ,Unknown protein
Solyc00g500289.1.1 ,Unknown protein
Solyc00g500290.2.1 ,DNA-directed RNA polymerase subunit beta'' (AHRD V3.11 *** tr|A0A1U8QCC7|A0A1U8QCC7_CAPAN)
Solyc00g500291.1.1 ,"30S ribosomal protein S2, chloroplastic (AHRD V3.3 *** I6N946_DATST)"
Solyc00g500292.1.1 ,"ATP synthase subunit alpha, chloroplastic (AHRD V3.3 *** I6N942_DATST)"
Solyc00g500293.1.1 ,Photosystem II reaction center protein K (AHRD V3.3 *** A0A1U8QD48_CAPAN)
Solyc00g500294.1.1 ,Unknown protein
Solyc00g500295.1.1 ,Maturase K (AHRD V3.3 *** A0A2G3DGH8_CAPCH)
Solyc00g500296.1.1 ,Photosystem II protein .1
Solyc00g500297.1.1 ,50S ribosomal protein L2 (AHRD V3.3 *** H6T990_9CARY)
Solyc00g500298.1.1 ,"50S ribosomal protein L2, chloroplastic (AHRD V3.3 *** I6N9C2_DATST)"
Solyc00g500299.1.1 ,Ycf15 protein (AHRD V3.3 *-* J7H9P3_CAPAN)
Solyc00g500300.1.1 ,Ycf15 protein (AHRD V3.3 *-* J7H9P3_CAPAN)
Solyc00g500301.1.1 ,Ycf15 (AHRD V3.3 *-* A0A346JLD3_9ASTE)
Solyc00g500302.1.1 ,ATPase subunit 4 (AHRD V3.3 *** A0A0C5B288_HYONI)
Solyc00g500303.1.1 ,Cytochrome c oxidase subunit 3 (AHRD V3.3 *** A0A0C5BKQ0_9SOLA)
Solyc00g500304.1.1 ,Protein Ycf2 (AHRD V3.3 *-* A0A142DP97_9LAMI)
Solyc00g500305.1.1 ,Unknown protein
Solyc00g500306.1.1 ,Unknown protein
Solyc00g500307.1.1 ,Unknown protein
Solyc00g500308.1.1 ,Unknown protein
Solyc00g171810.4.1 ,ATP synthase subunit a (AHRD V3.11 *-* tr|A0A2H4NB24|A0A2H4NB24_SOLLC)
Solyc00g500310.1.1 ,Cytochrome c oxidase subunit 2 (AHRD V3.3 *** A0A2G2X686_CAPBA)
Solyc00g500311.2.1 ,Heme exporter protein C (AHRD V3.11 *** tr|A0A2S4LUD9|A0A2S4LUD9_9BRAD)
Solyc00g500312.1.1 ,Cytochrome b (AHRD V3.3 *-* A0A2G3ARK2_CAPCH)
Solyc00g160100.1.1 ,Ribonuclease H domain (AHRD V3.11 --* tr|A0A200Q982|A0A200Q982_9MAGN)
Solyc00g160560.1.1 ,Ribosomal protein S12 (AHRD V3.11 *-* tr|I1VWK1|I1VWK1_SPIPO)
Solyc00g500261.2.1 ,NADH-ubiquinone oxidoreductase chain 3 (AHRD V3.11 *** tr|A0A2G3AVG7|A0A2G3AVG7_CAPCH)
Solyc06g030645.2.1 ,agamous-like MADS-box protein AGL66 (AHRD V3.11 *-* XP_019070464.1)
Solyc00g160550.1.1 ,agamous-like MADS-box protein AGL66 (AHRD V3.11 *** XP_019070464.1)
Solyc00g500313.1.1 ,Unknown protein
Solyc00g500314.1.1 ,NADH dehydrogenase subunit 2 (AHRD V3.3 *-* A0A0C5B2A9_HYONI)
Solyc00g500315.1.1 ,"LOW QUALITY PROTEIN: uncharacterized protein LOC112326444, partial (AHRD V3.3 *-* XP_024449890.1)"
Solyc00g500316.1.1 ,NADH dehydrogenase subunit 2 (AHRD V3.3 *-* A0A060DER8_9GENT)
Solyc00g160570.1.1 ,Telomere repeat-binding factor 1-like protein (AHRD V3.11 *-* tr|A0A2K3NRX7|A0A2K3NRX7_TRIPR)
Solyc00g500317.1.1 ,NADH-ubiquinone oxidoreductase chain 5 (AHRD V3.3 *** A0A0C5ARN6_HYONI)
Solyc00g500318.1.1 ,Cytochrome C oxidase subunit II-like%2C transmembrane domain-containing protein ChrM:318588-319463 REVERSE LENGTH=2.1
Solyc00g012540.1.1 ,Zinc finger transcription factor 3
Solyc00g500319.1.1 ,DNA-directed RNA polymerase subunit beta'' (AHRD V3.3 *** A0A1U8QCC7_CAPAN)
Solyc00g500320.1.1 ,Photosystem II protein .1
Solyc00g500321.1.1 ,"ATP synthase subunit b, chloroplastic (AHRD V3.3 *** I6N943_DATST)"
Solyc00g500322.1.1 ,"ATP synthase subunit b, chloroplastic (AHRD V3.3 *** I6N943_DATST)"
Solyc00g500323.1.1 ,"ATP synthase subunit alpha, chloroplastic (AHRD V3.3 *** I6N942_DATST)"
Solyc00g500324.1.1 ,Protein TIC 214 (AHRD V3.3 *** TI214_SOLTU)
Solyc00g500325.1.1 ,Ycf15 (AHRD V3.3 *-* A0A346JLD3_9ASTE)
Solyc00g500326.1.1 ,Ycf15 protein (AHRD V3.3 *-* J7H9P3_CAPAN)
Solyc00g500327.1.1 ,Protein Ycf2 (AHRD V3.3 *** A0A1Z1GA65_LITCN)
Solyc00g500328.1.1 ,"Ribosomal protein L2, plastid (AHRD V3.3 *-* A0A2U1PJW3_ARTAN)"
Solyc00g500329.1.1 ,Photosystem II protein .1
Solyc00g500330.1.1 ,Maturase K (AHRD V3.3 *** A0A2G3DGH8_CAPCH)
Solyc00g500331.1.1 ,Photosystem II reaction center protein K (AHRD V3.3 *** A0A1U8QD48_CAPAN)
Solyc00g500332.1.1 ,"ATP synthase subunit alpha, chloroplastic (AHRD V3.3 *** I6N942_DATST)"
Solyc00g500333.1.1 ,"ATP synthase subunit b, chloroplastic (AHRD V3.3 *** I6N943_DATST)"
Solyc00g500334.1.1 ,"ATP synthase subunit c, chloroplastic (AHRD V3.3 *** A0A2G2XQ72_CAPBA)"
Solyc00g500335.1.1 ,"ATP synthase subunit a, chloroplastic (AHRD V3.3 *** J7H3L4_CAPAN)"
Solyc00g160110.1.1 ,"30S ribosomal protein S2, chloroplastic (AHRD V3.11 *** tr|I6N946|I6N946_DATST)"
Solyc00g500338.1.1 ,Unknown protein
Solyc00g160730.1.1 ,Pre-mRNA-processing protein 40B (AHRD V3.11 *-* tr|A0A2G3BZ69|A0A2G3BZ69_CAPCH)
Solyc00g500339.1.1 ,Unknown protein
Solyc00g500340.1.1 ,orf2.1
Solyc00g500341.1.1 ,Unknown protein
Solyc00g500342.1.1 ,Unknown protein
Solyc00g500343.1.1 ,hypothetical protein ChrM:190104-190553 REVERSE LENGTH=149 201606 (AHRD V3.3 *** ATMG00660.1)
Solyc00g500344.1.1 ,"ATP synthase subunit beta, chloroplastic (AHRD V3.3 *-* A0A2U1KL25_ARTAN)"
Solyc00g500345.1.1 ,ATP synthase subunit alpha (AHRD V3.3 *** A0A2G3AS26_CAPCH)
Solyc00g500346.1.1 ,Transport membrane protein (AHRD V3.3 *** A0A0C5ARU2_HYONI)
Solyc00g500347.1.1 ,Cytochrome c biogenesis FN (AHRD V3.3 *** A0A0C5B9X0_9SOLA)
Solyc00g160120.1.1 ,Zinc finger protein (AHRD V3.11 *** tr|A0A200RA11|A0A200RA11_9MAGN)
Solyc00g500348.1.1 ,Cytochrome c biogenesis FN (AHRD V3.11 *** tr|A0A0C5B9X0|A0A0C5B9X0_9SOLA)
Solyc00g500349.1.1 ,Cytochrome c oxidase subunit.1
Solyc00g500350.1.1 ,RNA-dependent RNA polymerase (AHRD V3.3 *** A0A2Z6JIR4_9VIRU)
Solyc00g500351.1.1 ,Ribosomal protein S13 (AHRD V3.3 *-* A0A0C5B313_9SOLA)
Solyc00g032030.2.1 ,E3 ubiquitin-protein ligase (AHRD V3.11 *** tr|A0A2G2WYW6|A0A2G2WYW6_CAPBA)
Solyc00g500353.1.1 ,Phenylalanine ammonia-lyase (AHRD V3.3 *** A0A2G2VZP0_CAPBA)
Solyc00g076250.1.1 ,"Aminotransferase-like, plant mobile domain-containing protein (AHRD V3.3 *-* A0A103XKK0_CYNCS)"
Solyc00g160740.1.1 ,60S ribosomal protein L6 (AHRD V3.11 *-* tr|A0A2G2WV77|A0A2G2WV77_CAPBA)
Solyc00g160580.1.1 ,B3 domain-containing transcription factor VRN1-like (AHRD V3.11 *-* XP_004234716.1)
Solyc00g160750.1.1 ,Polyadenylate-binding protein RBP47B (AHRD V3.11 *-* tr|A0A2G3BE08|A0A2G3BE08_CAPCH)
Solyc00g500355.1.1 ,Unknown protein
Solyc00g500356.1.1 ,Unknown protein
Solyc00g500357.1.1 ,Transport membrane protein (AHRD V3.3 *** A0A0C5ARU2_HYONI)
Solyc00g500358.1.1 ,ATP synthase subunit alpha (AHRD V3.3 *** A0A2H4NB27_SOLLC)
Solyc00g500359.1.1 ,Cytochrome c oxidase subunit 2 (AHRD V3.3 *** A0A2G2X686_CAPBA)
Solyc00g500360.1.1 ,Cytochrome c oxidase subunit 2 (AHRD V3.3 *-* A0A0C5B2A3_HYONI)
Solyc00g500361.1.1 ,NADH-ubiquinone oxidoreductase chain 3 (AHRD V3.3 *-* A0A2G2V3C2_CAPBA)
Solyc11g056510.2.1 ,Ribonuclease H domain (AHRD V3.11 --* tr|A0A200Q982|A0A200Q982_9MAGN)
Solyc00g500362.1.1 ,Ribosomal protein L5 (AHRD V3.3 *** A0A290WL59_SOLLC)
Solyc00g500363.1.1 ,Ribosomal protein L5 (AHRD V3.3 *** A0A290WL59_SOLLC)
Solyc00g500364.1.1 ,Cytochrome b (AHRD V3.3 *** A0A2G3ARK2_CAPCH)
Solyc00g160240.1.1 ,Cytochrome c oxidase subunit 2 (AHRD V3.11 *-* tr|A0A2G3BJG3|A0A2G3BJG3_CAPCH)
Solyc00g160130.1.1 ,ATP synthase subunit a (AHRD V3.11 *-* tr|A0A2H4NB24|A0A2H4NB24_SOLLC)
Solyc00g160590.1.1 ,"1-deoxy-D-xylulose 5-phosphate reductoisomerase, chloroplastic (AHRD V3.11 --* XP_024976602.1)"
Solyc00g308530.1.1 ,Unknown protein
Solyc00g160610.1.1 ,zinc finger CCCH domain-containing protein 6-like isoform X2 (AHRD V3.11 *-* tr|A0A2I4DEC7|A0A2I4DEC7_9ROSI)
Solyc00g284510.1.1 ,zinc finger CCCH domain-containing protein 6-like isoform X2 (AHRD V3.3 *-* A0A2I4DEC7_9ROSI)
Solyc00g160600.1.1 ,Zinc finger CCCH domain-containing protein 68 (AHRD V3.11 --* sp|Q9FH61|C3H68_ARATH)
Solyc00g500365.1.1 ,Unknown protein
Solyc00g160620.1.1 ,Reverse transcriptase (AHRD V3.11 *-* tr|D5LVX4|D5LVX4_9POAL)
Solyc00g500366.1.1 ,Unknown protein
Solyc00g500367.1.1 ,Unknown protein
Solyc00g500368.1.1 ,Unknown protein
Solyc00g500369.1.1 ,Unknown protein
Solyc00g500370.1.1 ,Unknown protein
Solyc00g500371.1.1 ,Unknown protein
Solyc00g500372.1.1 ,Unknown protein
Solyc00g500373.1.1 ,Magnesium transporter CorA-like family protein (AHRD V3.3 *-* A0A2K3P294_TRIPR)
Solyc00g500374.1.1 ,Unknown protein
Solyc00g500375.1.1 ,Unknown protein
Solyc00g160140.1.1 ,Phosphatidylinositol 4-phosphate 5-kinase (AHRD V3.11 *-* tr|M1CLR5|M1CLR5_SOLTU)
Solyc00g160760.1.1 ,F-box protein At3g07870-like (AHRD V3.11 *-* XP_011098049.1)
Solyc00g160150.1.1 ,F-box domain (AHRD V3.11 *-* tr|A0A200PSM3|A0A200PSM3_9MAGN)
Solyc00g500376.1.1 ,Unknown protein
Solyc00g160250.1.1 ,Zinc finger BED domain-containing protein RICESLEEPER 2 (AHRD V3.11 *-* tr|A0A2U1KTK1|A0A2U1KTK1_ARTAN)
Solyc00g500379.1.1 ,Unknown protein
Solyc00g500380.1.1 ,Unknown protein
Solyc00g500381.1.1 ,Unknown protein
Solyc00g500382.1.1 ,Unknown protein
Solyc00g500383.1.1 ,Unknown protein
Solyc00g500384.1.1 ,Unknown protein
Solyc00g500385.1.1 ,Unknown protein
Solyc00g500386.1.1 ,Unknown protein
Solyc00g500387.1.1 ,Unknown protein
Solyc00g500388.1.1 ,Unknown protein
Solyc00g500389.1.1 ,Unknown protein
Solyc00g500390.1.1 ,zinc finger CCCH domain-containing protein 24 (AHRD V3.3 --* XP_022001075.1)
Solyc00g500391.1.1 ,Unknown protein
Solyc00g500392.1.1 ,Unknown protein
Solyc00g500393.1.1 ,Unknown protein
Solyc00g500394.1.1 ,Unknown protein
Solyc00g500395.1.1 ,Unknown protein
Solyc00g500396.1.1 ,Unknown protein
Solyc00g500397.1.1 ,Unknown protein
Solyc00g500398.1.1 ,Unknown protein
Solyc00g500399.1.1 ,Unknown protein
Solyc00g500400.1.1 ,Unknown protein
Solyc00g500401.1.1 ,Unknown protein
Solyc00g500402.1.1 ,Unknown protein
Solyc00g500403.1.1 ,Unknown protein
Solyc00g007920.1.1 ,Unknown protein
Solyc00g007940.1.1 ,Unknown protein
Solyc00g007930.1.1 ,Unknown protein
Solyc00g500404.1.1 ,Unknown protein
Solyc00g500405.1.1 ,Disease resistance protein (TIR-NBS-LRR class) family (AHRD V3.3 *-* A0A2U1N0W2_ARTAN)
