"genes","log2FoldChange","padj","tair_symbol","description","external_gene_name","batchcorr","refgroup","logFC_scheible2004","Padj_scheible2004","logFC_nguyen2017","Padj_nguyen2017","lfcliu2020","qvalliu2020"
"AT4G37260",1.02312438841389,0.000895536234373153,"MYB73","MYB73 [Source:UniProtKB/TrEMBL;Acc:A0A178V4E7]","MYB73","p","em24",NA,NA,NA,NA,-0.650870372,0.002255697
"AT4G37370",-1.25843274343268,0.0010125942951746,"CYP81D8","Cytochrome P450, family 81, subfamily D, polypeptide 8 [Source:UniProtKB/TrEMBL;Acc:Q9SZT7]","CYP81D8","p","en2",2.90603029404142,4.64983244828495e-09,2.834,5.1e-05,-1.371836853,5.3e-07
"AT4G37770",2.92775387874364,0.0119097985650492,"ACS8","1-aminocyclopropane-1-carboxylate synthase-like protein [Source:UniProtKB/TrEMBL;Acc:Q56Y32]","ACS8","p","em2",NA,NA,NA,NA,-0.950842777,2.51e-19
"AT4G37770",2.56014170801015,0.0214255637568029,"ACS8","1-aminocyclopropane-1-carboxylate synthase-like protein [Source:UniProtKB/TrEMBL;Acc:Q56Y32]","ACS8","r","em2",NA,NA,NA,NA,-0.950842777,2.51e-19
"AT4G38410",-1.10567097737596,0.0229917789055286,"","At4g38410 [Source:UniProtKB/TrEMBL;Acc:Q8GY17]","","p","nm2",-0.533951005384498,0.00416625301444193,NA,NA,7.2739231,1.8e-08
"AT4G38460",-0.47860234192729,0.0126790419567745,"GGR","Heterodimeric geranylgeranyl pyrophosphate synthase small subunit, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q39108]","GGR","p","nm2",NA,NA,NA,NA,0.527254456,0.008715487
"AT4G38740",-0.836832288704223,2.77643460328073e-09,"ROC1","Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A178V2S8]","CYP18-3","p","nm2",NA,NA,NA,NA,-0.49969691,0.028939501
"AT4G38740",-0.464896443594671,0.0266518551113139,"ROC1","Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A178V2S8]","CYP18-3","p","em2",NA,NA,NA,NA,-0.49969691,0.028939501
"AT4G38770",-0.607516224361445,0.000398395208485633,"PRP4","Proline-rich protein 4 [Source:UniProtKB/Swiss-Prot;Acc:Q9T0I5]","PRP4","p","nm2",-0.729103274442528,7.09309653743367e-05,NA,NA,0.775159734,0.00013016
"AT4G38840",-1.01593406182059,0.00164946064144594,"","At4g38840 [Source:UniProtKB/TrEMBL;Acc:Q9T0J2]","","p","en6",-1.17639783283286,6.09181614388873e-07,NA,NA,2.291639874,2.5e-13
"AT4G38920",-0.433062987220224,0.0312421769787953,"AVA-P3","V-type proton ATPase subunit c1 [Source:UniProtKB/Swiss-Prot;Acc:P0DH92]","VHA-c3","p","nm2",0.185461943677889,0.0416185865453575,NA,NA,0.223360273,0.048612834
"AT4G38950",-0.599298528508292,0.0116874437029123,"","Kinesin-like protein KIN-7F [Source:UniProtKB/Swiss-Prot;Acc:F4JUI9]","KIN7F","p","em24",NA,NA,NA,NA,0.557676015,0.003221606
"AT4G38950",0.798327166086224,0.00705566686334413,"","Kinesin-like protein KIN-7F [Source:UniProtKB/Swiss-Prot;Acc:F4JUI9]","KIN7F","p","en6",NA,NA,NA,NA,0.557676015,0.003221606
"AT4G38960",-0.530846743304149,0.0349679103998551,"","B-box type zinc finger family protein [Source:UniProtKB/TrEMBL;Acc:F4JUJ1]","","p","em24",0.372302750507422,0.00989918645511887,NA,NA,0.962450494,0.005639788
"AT4G39330",-0.652974346733822,0.000619401350369378,"ATCAD9","Probable cinnamyl alcohol dehydrogenase 9 [Source:UniProtKB/Swiss-Prot;Acc:P42734]","CAD9","p","en6",-0.897612250135345,2.52573502018529e-06,NA,NA,1.620854558,1.13e-21
"AT4G39770",0.71834914197663,0.0356774337176783,"TPPH","Probable trehalose-phosphate phosphatase H [Source:UniProtKB/Swiss-Prot;Acc:Q8GWG2]","TPPH","p","nm2",-0.344384947704678,0.0124271529082824,NA,NA,0.733345839,0.00034039
"AT4G39800",-0.982384887996474,0.0193991734105843,"MI-1-P SYNTHASE","Inositol-3-phosphate synthase isozyme 1 [Source:UniProtKB/Swiss-Prot;Acc:P42801]","IPS1","r+p","em2",1.37266671625333,1.96257556246733e-07,NA,NA,-1.963893977,1.03e-08
"AT4G39860",-0.316870952323288,0.0369162305214609,"","Hematological/neurological-like protein [Source:UniProtKB/TrEMBL;Acc:Q9SMR7]","","p","nm2",NA,NA,NA,NA,0.417456061,0.012340234
"AT4G39950",-0.616227799879533,0.00829546348491069,"CYP79B2","cytochrome P450, family 79, subfamily B, polypeptide 2 [Source:TAIR;Acc:AT4G39950]","CYP79B2","r","em2",NA,NA,NA,NA,-0.896896939,6.1e-05
"AT4G39980",-0.412605783896876,0.0301310484953486,"DHS1","Phospho-2-dehydro-3-deoxyheptonate aldolase 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P29976]","DHS1","p","nm2",-0.638395400478383,6.72788115681736e-05,NA,NA,-0.4755375,0.005609188
"AT5G01220",-1.55736303575684,2.37215883511922e-10,"SQD2","Sulfoquinovosyl transferase SQD2 [Source:UniProtKB/Swiss-Prot;Acc:Q8S4F6]","SQD2","r+p","em2",0.504646720611612,0.00509124601137092,NA,NA,0.486140908,0.040872186
"AT5G01220",-1.40382595492302,0.000202249825373091,"SQD2","Sulfoquinovosyl transferase SQD2 [Source:UniProtKB/Swiss-Prot;Acc:Q8S4F6]","SQD2","p","em2",0.504646720611612,0.00509124601137092,NA,NA,0.486140908,0.040872186
"AT5G01220",-0.945408068247288,3.64815665291204e-05,"SQD2","Sulfoquinovosyl transferase SQD2 [Source:UniProtKB/Swiss-Prot;Acc:Q8S4F6]","SQD2","r","em2",0.504646720611612,0.00509124601137092,NA,NA,0.486140908,0.040872186
"AT5G02250",0.51118011202837,0.0473127234319194,"EMB2730","Ribonuclease II, chloroplastic/mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q6NQJ6]","RNR1","p","nm2",-0.794913934083846,3.89104310977199e-05,NA,NA,0.374943863,0.021933121
"AT5G03240",-0.678729942408249,0.0424609215425935,"UBQ3","Ubiquitin 4 [Source:UniProtKB/TrEMBL;Acc:A0A1P8BGQ7]","UBQ3","p","en6",0.839052114157355,6.74874903205709e-05,NA,NA,-0.315460227,0.001218497
"AT5G03330",-0.565965885915628,0.03159210992588,"","At5g03330 [Source:UniProtKB/TrEMBL;Acc:Q9LZF7]","","p","em24",NA,NA,NA,NA,-0.590998254,4.72e-05
"AT5G04190",0.708156773196389,0.0322951835529031,"PKS4","Protein PHYTOCHROME KINASE SUBSTRATE 4 [Source:UniProtKB/Swiss-Prot;Acc:Q9FYE2]","PKS4","p","em2",NA,NA,NA,NA,1.335128997,1.69e-17
"AT5G04540",-0.460010444411276,0.035472744455095,"","Phosphatidylinositol-3-phosphatase myotubularin-2 [Source:UniProtKB/Swiss-Prot;Acc:F4JWB3]","MTM2","p","em24",NA,NA,NA,NA,-0.359414562,0.00457393
"AT5G04720",0.578757117984343,0.00557062008107789,"ADR1-L2","Probable disease resistance protein At5g04720 [Source:UniProtKB/Swiss-Prot;Acc:Q9LZ25]","ADR1-L2","p","em24",1.69856304388077,1.21212893394858e-08,NA,NA,-0.3281226,1.95e-05
"AT5G04720",1.02368726648327,0.0181086041048269,"ADR1-L2","Probable disease resistance protein At5g04720 [Source:UniProtKB/Swiss-Prot;Acc:Q9LZ25]","ADR1-L2","p","en24",1.69856304388077,1.21212893394858e-08,NA,NA,-0.3281226,1.95e-05
"AT5G04830",0.484062549426307,0.00857958269615043,"","Nuclear transport factor 2 (NTF2) family protein [Source:UniProtKB/TrEMBL;Acc:Q9FMC7]","","p","nm2",0.705688148310743,6.63608769475014e-06,NA,NA,-0.415107172,0.00342324
"AT5G04950",2.31052030470728,0.0497389576777575,"NAS1","Nicotianamine synthase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9FF79]","NAS1","r","em6",-2.48602455278673,9.3131828426984e-10,NA,NA,-4.031605424,0.000162561
"AT5G06320",1.06576072972257,0.000280171056717659,"NHL3","NHL3 [Source:UniProtKB/TrEMBL;Acc:A0A178UB58]","NHL3","p","em24",1.39815125102091,9.88428857841983e-08,NA,NA,-0.654304507,0.000428015
"AT5G06320",1.50203371353223,0.0328612621981636,"NHL3","NHL3 [Source:UniProtKB/TrEMBL;Acc:A0A178UB58]","NHL3","p","en24",1.39815125102091,9.88428857841983e-08,NA,NA,-0.654304507,0.000428015
"AT5G07110",-0.532117203434449,0.0169952594471228,"PRA1.B6","PRA1 family protein B6 [Source:UniProtKB/Swiss-Prot;Acc:Q9LYQ4]","PRA1B6","p","nm2",NA,NA,NA,NA,0.907390684,0.000158385
"AT5G09800",0.971247244130829,0.00646897028516169,"","U-box domain-containing protein 28 [Source:UniProtKB/Swiss-Prot;Acc:Q9LXE3]","PUB28","p","em24",1.11195916675052,6.72699453040615e-05,NA,NA,-2.561833636,2.69e-22
"AT5G09810",0.448695108151974,0.02268487314163,"ACT7","AtACT7 [Source:UniProtKB/TrEMBL;Acc:A0A178UEW4]","ACT7","p","em24",0.264394638936766,0.00415283159342252,NA,NA,0.266643084,0.005805394
"AT5G09920",0.369795214473582,0.0497965696168814,"RPB15.9","RPB15.9.9 [Source:UniProtKB/TrEMBL;Acc:A0A178UIQ5]","NRPB4","p","em2",0.611998656378216,6.92651980937638e-05,NA,NA,-0.323133954,0.011539792
"AT5G11740",-0.759312692227687,0.0250792449133742,"AGP15","ATAGP15 [Source:UniProtKB/TrEMBL;Acc:C0SVP3]","AGP15","p","em2",0.321338278270616,0.00165949196072066,NA,NA,0.454332892,0.010598263
"AT5G11740",-0.745428519424236,0.0330200471967871,"AGP15","ATAGP15 [Source:UniProtKB/TrEMBL;Acc:C0SVP3]","AGP15","r+p","em2",0.321338278270616,0.00165949196072066,NA,NA,0.454332892,0.010598263
"AT5G11740",-0.594574693811745,0.00634442044321569,"AGP15","ATAGP15 [Source:UniProtKB/TrEMBL;Acc:C0SVP3]","AGP15","r","em2",0.321338278270616,0.00165949196072066,NA,NA,0.454332892,0.010598263
"AT5G12880",0.653707138294955,0.0149377158841683,"","At5g12880 [Source:UniProtKB/TrEMBL;Acc:Q9LXV1]","","p","em24",1.26131141415689,1.04942076392915e-06,NA,NA,-1.25673951,4.4e-10
"AT5G12940",1.22990818560571,1.62238201912432e-06,"","Leucine-rich repeat (LRR) family protein [Source:UniProtKB/TrEMBL;Acc:Q9LXU5]","","p","em24",0.366086511234427,0.00183803622013254,NA,NA,2.758611873,8.86e-21
"AT5G14640",-0.372455282436944,0.0191333678093681,"ATSK13","Shaggy-related protein kinase epsilon [Source:UniProtKB/Swiss-Prot;Acc:Q8VZD5]","ASK5","p","nm2",1.04529899680672,8.32909850994671e-07,NA,NA,-1.029217752,5.69e-11
"AT5G15530",-0.440730463337718,0.00682833990354628,"BCCP2","Biotin carboxyl carrier protein of acetyl-CoA carboxylase [Source:UniProtKB/TrEMBL;Acc:A0A178U9S1]","BCCP2","p","nm2",-0.222240248899228,0.0385929500230397,NA,NA,0.537908592,0.040783205
"AT5G15980",0.455155652975073,0.0373757431268646,"","Pentatricopeptide repeat-containing protein At5g15980, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q8LPF1]","","p","em24",NA,NA,NA,NA,0.373498848,0.045609514
"AT5G16370",0.787589838572169,0.0058927026298777,"AAE5","Probable acyl-activating enzyme 5, peroxisomal [Source:UniProtKB/Swiss-Prot;Acc:Q9FFE6]","AAE5","r","em2",NA,NA,NA,NA,-0.462515425,1.38e-05
"AT5G17350",1.15269204938503,0.0142210400716869,"","Uncharacterized protein At5g17350 [Source:UniProtKB/TrEMBL;Acc:Q9LF49]","","p","em24",NA,NA,NA,NA,-1.539218465,9.11e-07
"AT5G18690",-0.67779308214397,0.00185367609195951,"AGP25","ATAGP25 [Source:UniProtKB/TrEMBL;Acc:A0A178UK45]","AGP25","p","nm2",NA,NA,NA,NA,1.226415501,0.015327853
"AT5G18690",-0.634773190983904,0.046594813866324,"AGP25","ATAGP25 [Source:UniProtKB/TrEMBL;Acc:A0A178UK45]","AGP25","p","em2",NA,NA,NA,NA,1.226415501,0.015327853
"AT5G20230",1.23888922752153,0.0114109154741124,"ATBCB","SAG14 [Source:UniProtKB/TrEMBL;Acc:A0A178UM84]","BCB","p","em24",NA,NA,0.837,0.0083,-0.670218314,1.82e-06
"AT5G21930",0.678972746403572,0.0029400569603244,"PAA2","Copper-transporting ATPase PAA2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:B9DFX7]","PAA2","p","nm2",NA,NA,NA,NA,0.37523159,0.003278083
"AT5G22090",-0.377146558237686,0.0190080579991338,"","Protein FAF-like, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q0V865]","","p","nm2",NA,NA,NA,NA,-0.348762726,0.001122406
"AT5G22800",0.46918254315917,0.0312421769787953,"EMB86","Alanyl-tRNA synthetase, class IIc [Source:TAIR;Acc:AT5G22800]","EMB86","p","nm2",NA,NA,NA,NA,0.310182482,0.03208578
"AT5G22920",0.882597296715125,0.000175754300879351,"","E3 ubiquitin-protein ligase RZFP34 [Source:UniProtKB/Swiss-Prot;Acc:Q9FFB6]","RZPF34","r","em2",-3.75241174898541,9.72953079370769e-06,NA,NA,0.289323686,0.002050501
"AT5G22920",1.2369900939669,0.0372476662470358,"","E3 ubiquitin-protein ligase RZFP34 [Source:UniProtKB/Swiss-Prot;Acc:Q9FFB6]","RZPF34","p","en6",-3.75241174898541,9.72953079370769e-06,NA,NA,0.289323686,0.002050501
"AT5G23740",0.39969723849766,0.043403983342369,"RPS11-BETA","RPS11-BETA [Source:UniProtKB/TrEMBL;Acc:A0A178UPD3]","RPS11C","p","em24",-0.355553471847536,0.0010917485098007,NA,NA,0.248815417,0.044901399
"AT5G23810",-0.732919735745775,0.0287872127049656,"AAP7","Probable amino acid permease 7 [Source:UniProtKB/Swiss-Prot;Acc:Q9FF99]","AAP7","p","em24",NA,NA,NA,NA,-0.586571464,4.96e-05
"AT5G23870",0.622053066553274,0.0141466972974678,"","Pectin acetylesterase 9 [Source:UniProtKB/Swiss-Prot;Acc:B9DFR3]","PAE9","p","nm2",-0.711066318798804,0.000433019858407005,NA,NA,0.74018076,3.21e-05
"AT5G25630",0.424945643109193,0.0294773830098671,"","Tetratricopeptide repeat (TPR)-like superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4JY71]","","p","nm2",-0.271559190400933,0.0145518895936184,NA,NA,0.375489951,0.020026917
"AT5G25630",-0.382105190019572,0.0166603134564542,"","Tetratricopeptide repeat (TPR)-like superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4JY71]","","p","em24",-0.271559190400933,0.0145518895936184,NA,NA,0.375489951,0.020026917
"AT5G26030",1.0268385111015,0.0428773696711506,"FC1","Ferrochelatase-1, chloroplastic/mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:P42043]","FC1","p","en24",0.585254651446568,2.14083750629475e-05,NA,NA,-0.955560961,4.74e-09
"AT5G26030",0.649100631278,0.0137092647606203,"FC1","Ferrochelatase-1, chloroplastic/mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:P42043]","FC1","p","em24",0.585254651446568,2.14083750629475e-05,NA,NA,-0.955560961,4.74e-09
"AT5G26600",0.398119038436529,0.00329863816599989,"","Probable L-cysteine desulfhydrase, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q3E6S9]","CpNIFS3","p","en2",0.254393151921015,0.0270413034612087,NA,NA,-0.748080748,3.85e-08
"AT5G26600",-0.448481177250467,0.0101418669932892,"","Probable L-cysteine desulfhydrase, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q3E6S9]","CpNIFS3","p","nm2",0.254393151921015,0.0270413034612087,NA,NA,-0.748080748,3.85e-08
"AT5G26920",1.1655057747736,0.0152975780202987,"CBP60G","Calmodulin-binding protein 60 G [Source:UniProtKB/Swiss-Prot;Acc:F4K2R6]","CBP60G","p","em24",2.78519321741317,1.50574667320398e-07,NA,NA,-0.743521296,7.39e-05
"AT5G27670",0.410189909238685,0.023601008328816,"HTA7","Histone H2A [Source:UniProtKB/TrEMBL;Acc:A0A178UFF2]","HTA7","p","em24",-0.544227047941026,8.76577514745061e-05,NA,NA,-0.969607749,8.2e-10
"AT5G37540",0.682451055600932,0.00770288738193556,"","AT5g37540/mpa22_p_70 [Source:UniProtKB/TrEMBL;Acc:Q9FGI3]","","p","em24",0.856921977595402,3.53779135549959e-05,NA,NA,-0.720213457,1.79e-07
"AT5G38140",-1.2801315448127,0.0443349646019485,"NF-YC12","Nuclear transcription factor Y subunit C-10 [Source:UniProtKB/Swiss-Prot;Acc:Q58CM8]","NFYC10","p","en24",NA,NA,NA,NA,0.559480212,0.011295914
"AT5G38140",0.571849944407033,0.039268887226841,"NF-YC12","Nuclear transcription factor Y subunit C-10 [Source:UniProtKB/Swiss-Prot;Acc:Q58CM8]","NFYC10","p","nm2",NA,NA,NA,NA,0.559480212,0.011295914
"AT5G38140",-0.795637782252084,0.00299361004931321,"NF-YC12","Nuclear transcription factor Y subunit C-10 [Source:UniProtKB/Swiss-Prot;Acc:Q58CM8]","NFYC10","p","em24",NA,NA,NA,NA,0.559480212,0.011295914
"AT5G39320",0.817003120311238,0.0421823131422329,"","UDP-glucose 6-dehydrogenase 4 [Source:UniProtKB/Swiss-Prot;Acc:Q9FM01]","UGD4","p","em24",NA,NA,NA,NA,0.710042723,0.040471759
"AT5G39520",0.861632148691787,0.0329388157324433,"","Uncharacterized protein At5g39520 [Source:UniProtKB/TrEMBL;Acc:Q0WW43]","","p","em2",5.7413992500471,9.89931679623061e-11,NA,NA,-0.88978525,0.011407466
"AT5G39520",0.871320276280328,0.00365226431398737,"","Uncharacterized protein At5g39520 [Source:UniProtKB/TrEMBL;Acc:Q0WW43]","","r","em2",5.7413992500471,9.89931679623061e-11,NA,NA,-0.88978525,0.011407466
"AT5G41260",-0.613898486991982,0.00749424528220017,"","Serine/threonine-protein kinase BSK8 [Source:UniProtKB/Swiss-Prot;Acc:Q9FHD7]","BSK8","p","em24",NA,NA,NA,NA,0.319135193,0.02614464
"AT5G42050",1.02600287489449,0.0181086041048269,"","DCD (Development and Cell Death) domain protein [Source:UniProtKB/TrEMBL;Acc:Q8RXN8]","","p","en24",1.74836315098202,6.75975927186136e-09,NA,NA,-0.509110295,0.007212834
"AT5G42110",-0.762947487724647,0.0422759932528652,"","Putative uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:Q8GW66]","","p","en6",NA,NA,NA,NA,1.190619136,1.83e-06
"AT5G42240",0.48223984698639,0.0231339128756225,"scpl42","Serine carboxypeptidase-like 42 [Source:UniProtKB/Swiss-Prot;Acc:Q9FH05]","SCPL42","p","nm2",-0.963072026001368,9.63404555802426e-06,NA,NA,0.59978695,0.000640262
"AT5G42980",-0.372097407704268,0.0252240163803982,"ATTRX3","Thioredoxin H3 [Source:UniProtKB/Swiss-Prot;Acc:Q42403]","TRX3","p","nm2",0.481992562012178,5.48981893683565e-05,NA,NA,-0.245174567,0.015635319
"AT5G43630",-0.382158934390727,0.0483301982244067,"TZP","Zinc knuckle (CCHC-type) family protein [Source:UniProtKB/TrEMBL;Acc:Q9FIX7]","TZP","p","em24",NA,NA,NA,NA,-0.58700898,0.015949703
"AT5G43700",0.996196515671337,6.37928848163327e-07,"ATAUX2-11","IAA4 [Source:UniProtKB/TrEMBL;Acc:A0A384LA06]","IAA4","p","em2",-0.383360792230731,0.00824056178571092,NA,NA,1.109684499,8.31e-15
"AT5G43700",0.838525546285379,2.67364602590148e-05,"ATAUX2-11","IAA4 [Source:UniProtKB/TrEMBL;Acc:A0A384LA06]","IAA4","p","en2",-0.383360792230731,0.00824056178571092,NA,NA,1.109684499,8.31e-15
"AT5G43700",0.752017894344639,0.000672667436146117,"ATAUX2-11","IAA4 [Source:UniProtKB/TrEMBL;Acc:A0A384LA06]","IAA4","r","em2",-0.383360792230731,0.00824056178571092,NA,NA,1.109684499,8.31e-15
"AT5G43950",0.693958441759294,0.042296960928477,"","Vacuolar protein sorting-associated protein (DUF946) [Source:UniProtKB/TrEMBL;Acc:Q9FND1]","","r","em2",NA,NA,NA,NA,0.666955642,0.006305912
"AT5G44240",-0.539256410754061,0.00378685428482899,"ALA2","Phospholipid-transporting ATPase [Source:UniProtKB/TrEMBL;Acc:F4K8T6]","ALA2","p","em2",0.604264776577117,0.000167481668845764,NA,NA,-0.313748048,0.001428724
"AT5G44340",0.470533923614763,0.049842414999944,"TUB4","Tubulin beta-4 chain [Source:UniProtKB/Swiss-Prot;Acc:P24636]","TUBB4","p","em24",NA,NA,NA,NA,0.443770914,4.13e-09
"AT5G44430",4.29511285811691,0.00246045243777124,"PDF1.2c","PDF1.2c [Source:UniProtKB/TrEMBL;Acc:A0A178UR42]","PDF1.2C","r+p","nm6",NA,NA,NA,NA,-1.109635545,0.016091071
"AT5G45560",-0.524899545436974,0.0285272755168874,"","Protein ENHANCED DISEASE RESISTANCE 2-like [Source:UniProtKB/Swiss-Prot;Acc:Q8VZF6]","EDR2L","p","em24",NA,NA,NA,NA,0.820251917,0.000589802
"AT5G46490",0.773623607524074,0.00472845214341775,"","Disease resistance protein (TIR-NBS-LRR class) family [Source:UniProtKB/TrEMBL;Acc:Q9FHF6]","","p","nm2",NA,NA,NA,NA,0.624241594,0.026404945
"AT5G47230",1.69955776387132,5.24435913313796e-06,"ERF5","ERF5 [Source:UniProtKB/TrEMBL;Acc:A0A178UKK9]","ERF5","p","em24",NA,NA,NA,NA,-1.160386996,2.14e-12
"AT5G49100",-0.685182121730763,0.0123996057977132,"","Vitellogenin-like protein [Source:UniProtKB/TrEMBL;Acc:Q9FH24]","","p","en6",NA,NA,NA,NA,-2.762523475,2.73e-34
"AT5G49480",-1.03449319985886,0.00823369048470718,"ATCP1","Calcium-binding protein CP1 [Source:UniProtKB/Swiss-Prot;Acc:Q9FDX6]","ATCP1","p","en6",0.337475244203473,0.00108870183321696,2.098,6.4e-05,-1.292352445,1.88e-06
"AT5G50450",0.678330917786494,0.00234382175497475,"","F-box protein At5g50450 [Source:UniProtKB/Swiss-Prot;Acc:Q9FK27]","","p","en6",-0.832831437158804,0.000378837507020539,NA,NA,-0.954577367,1.03e-13
"AT5G51190",1.29249847176904,0.000658243910851577,"","Ethylene-responsive transcription factor ERF105 [Source:UniProtKB/Swiss-Prot;Acc:Q8VY90]","ERF105","p","em24",0.94631250865001,1.20303757968088e-05,NA,NA,-1.457500417,0.000348939
"AT5G51830",1.07383847448615,0.0291924946744787,"","Probable fructokinase-7 [Source:UniProtKB/Swiss-Prot;Acc:Q9FLH8]","","p","en24",1.24801991833324,3.94990482303496e-08,1.389,0.00017,-1.5263051,1.62e-19
"AT5G53050",-1.38935593117598,0.0159778307431178,"","Alpha/beta-Hydrolases superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9LVU7]","","p","en24",-0.245511485506978,0.0352484131503759,NA,NA,-0.655050659,0.005644717
"AT5G54280",0.802016601844982,0.000127906171850744,"ATM2","Myosin-2 [Source:UniProtKB/Swiss-Prot;Acc:F4K0A6]","VIII-2","r","em2",-0.383266419746078,0.0120328349154179,NA,NA,-0.265262147,0.042031251
"AT5G54490",1.46103981130477,7.75361417916706e-05,"PBP1","PBP1 [Source:UniProtKB/TrEMBL;Acc:A0A178URF6]","PBP1","p","em24",1.33978787369778,6.05302440407374e-06,NA,NA,-1.329995978,6.14e-06
"AT5G55220",-0.505465524049815,0.0496396856384103,"","Trigger factor-like protein TIG, Chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q8S9L5]","TIG","p","em24",-2.3910760051504,4.36384713543195e-09,NA,NA,0.627425913,9.17e-06
"AT5G55220",0.720702233833164,0.0233783143518223,"","Trigger factor-like protein TIG, Chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q8S9L5]","TIG","p","nm2",-2.3910760051504,4.36384713543195e-09,NA,NA,0.627425913,9.17e-06
"AT5G55310",-0.568931236419884,0.0179501835397525,"TOP1BETA","DNA topoisomerase 1 beta [Source:UniProtKB/Swiss-Prot;Acc:Q9FJ79]","TOP1B","p","em24",NA,NA,NA,NA,-0.217761332,0.032840186
"AT5G55620",-0.857999172583831,0.0480821549326287,"","At5g55620 [Source:UniProtKB/TrEMBL;Acc:Q8LC55]","","p","en6",-0.286637080790152,0.0055026875941633,NA,NA,0.578611953,0.014385927
"AT5G56850",-0.811369914218313,0.0023841200825714,"","unknown protein; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; Ha. [Source:TAIR;Acc:AT5G56850]","","p","em24",-1.13518357221986,1.90997061959215e-06,NA,NA,0.633639434,0.011702162
"AT5G56850",1.00298201606986,0.0272379667987406,"","unknown protein; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; Ha. [Source:TAIR;Acc:AT5G56850]","","p","en6",-1.13518357221986,1.90997061959215e-06,NA,NA,0.633639434,0.011702162
"AT5G56850",0.63555210733333,0.016355656346506,"","unknown protein; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; Ha. [Source:TAIR;Acc:AT5G56850]","","p","nm2",-1.13518357221986,1.90997061959215e-06,NA,NA,0.633639434,0.011702162
"AT5G57785",-0.940849234584567,0.0487729672221487,"","At5g57785 [Source:UniProtKB/TrEMBL;Acc:Q8GY06]","","p","en6",-1.44517989995473,6.24244233108183e-08,NA,NA,-7.385252157,3.36e-75
"AT5G57960",-0.591917823471559,0.0144368024468244,"","GTP binding protein-like [Source:UniProtKB/TrEMBL;Acc:Q9FJM0]","","p","em24",-0.439142325860125,0.00093294423474978,NA,NA,0.538441711,0.000272054
"AT5G58930",0.42415420157242,0.0366887199423179,"","Emb [Source:UniProtKB/TrEMBL;Acc:Q9FIL8]","","p","em24",0.39060967744383,0.00126363556336133,NA,NA,0.680611299,4.69e-06
"AT5G59550",0.971244618155719,3.18988002104919e-07,"","zinc finger (C3HC4-type RING finger) family protein [Source:TAIR;Acc:AT5G59550]","","p","em24",0.979321240249921,8.58398285150617e-07,NA,NA,-0.528613152,0.01396432
"AT5G59730",0.717894341628148,0.00882419823404477,"ATEXO70H7","Exocyst subunit Exo70 family protein [Source:UniProtKB/TrEMBL;Acc:Q9FN91]","ATEXO70H7","p","em24",NA,NA,NA,NA,-1.003271508,0.005840107
"AT5G59910",0.415584991515083,0.0219219642063372,"HTB4","HTB4 [Source:UniProtKB/TrEMBL;Acc:A0A384KCB6]","HTB4","p","em24",NA,NA,NA,NA,-0.316073894,0.036373633
"AT5G59910",-0.515849108563316,0.0468336032975843,"HTB4","HTB4 [Source:UniProtKB/TrEMBL;Acc:A0A384KCB6]","HTB4","p","en6",NA,NA,NA,NA,-0.316073894,0.036373633
"AT5G60400",0.723804894006725,0.00955524134549788,"","unknown protein; Ha. [Source:TAIR;Acc:AT5G60400]","","p","em2",-0.283758543827735,0.0257390650076317,NA,NA,0.484934437,0.026980441
"AT5G60400",0.678393532202553,0.0156443956147693,"","unknown protein; Ha. [Source:TAIR;Acc:AT5G60400]","","r","em2",-0.283758543827735,0.0257390650076317,NA,NA,0.484934437,0.026980441
"AT5G60400",0.498435017190925,0.0190080579991338,"","unknown protein; Ha. [Source:TAIR;Acc:AT5G60400]","","p","nm2",-0.283758543827735,0.0257390650076317,NA,NA,0.484934437,0.026980441
"AT5G60670",0.513112546096101,0.0415476754499785,"","60S ribosomal protein L12-3 [Source:UniProtKB/Swiss-Prot;Acc:Q9FF52]","RPL12C","p","em24",-0.520308608452588,0.000198096469179798,NA,NA,0.345524074,0.008278743
